factor,crowding_only_coef,crowding_only_tstat,crowding_only_pval,r2_crowding_only,momentum_only_coef,momentum_only_tstat,momentum_only_pval,r2_momentum_only,crowding_controlled_coef,crowding_controlled_tstat,crowding_controlled_pval,momentum_controlled_coef,momentum_controlled_pval,r2_both,crowding_full_pval,r2_full
SMB,-0.0007189983525464454,-0.01927670753551295,0.9846203651703436,4.4950603284021895e-07,0.018738185739062982,1.7928220389009126,0.0730013843307341,0.005038479353472014,-0.0036943708208975815,-0.09360120030364044,0.9254259560978545,0.01877366447220406,0.06911757482149591,0.005050328830884965,0.6877586259893074,0.008287547651241178
HML,0.09044719887502176,1.7317118944645244,0.08332487179035343,0.004127950531543245,0.010941117360211408,1.0941617454460535,0.2738840459075327,0.0021748517143177493,0.07794236935911934,1.2059248058712764,0.22784648501674076,0.007160808901915557,0.5512807979322327,0.004980648507163288,0.8046233722051473,0.016877331691405817
RMW,0.0010320646694468721,1.822129135221551,0.06843539389017467,0.0008172954917541331,0.003982880184247335,0.28969959019053343,0.7720460698685859,0.0002530702766461168,0.0010133248251393697,1.7641672182362889,0.07770383016273977,0.0037385783070468864,0.7856073238601136,0.0010400027996251282,0.07457628017972374,0.020049203773407465
CMA,-0.002389568610205099,-2.135937822534037,0.0326844821912007,0.001211748030447768,0.01594081594083023,1.7737508557141024,0.07610437032109135,0.004306407332780093,-0.0025742845527746473,-2.5555633863146223,0.010601605017928752,0.016305984359679192,0.0711376205114233,0.005710474801307486,0.012077836491049185,0.00791208532669585
Mom,-0.2733569038533983,-2.0929250152819265,0.036355848792208,0.005080220640127253,-0.00852130613017848,-1.0857544659321625,0.2775876365920229,0.0008643049143177706,-0.26341346380155367,-2.0714279056435596,0.03831882531291209,-0.006047491087335219,0.4086048794726638,0.005508815174130932,0.16120237953122463,0.006651229150335558
