factor,full_sample_r2,K_full,lambda_full,in_sample_r2,K_train,lambda_train,extrapolation_r2,naive_r2,predictive_r2
SMB,0.11709153008508144,1.6008377403148661,0.03015856357323513,0.09031345801783286,1.5579779216990461,0.027319543500849405,-0.04915747172248541,-0.7183473405570735,-0.10022321220299557
HML,0.07591787418678997,0.7605853526734121,0.003521686840462161,-2.6645352591003757e-14,0.5884400615347408,1.1639098428190051e-15,-2.354051398729523,-2.3540514014748553,-0.08405654198708534
RMW,-2.220446049250313e-14,0.5717897562280907,3.994699868189651e-16,-6.794564910705958e-14,0.5506450300658985,1.2044634872854855e-15,-0.017118429318527584,-0.0171184283036121,-0.030594787102750542
CMA,0.041836464813006624,0.6540042961975446,0.0015222996341844202,-3.1086244689504383e-15,0.5887995914928154,5.276981933447306e-16,-0.8513759062664097,-0.8513759064810402,-0.03838761434969595
Mom,0.16877914910673864,1.0852314784968644,0.0022644382139101974,0.009972737014415145,0.9141564834697743,0.0003749419526081636,-2.2354145431543104,-2.9930801573964008,-0.11422745954334523
