method,marginal,low,med,high,variation,min_bin,avg_size
split,0.8584280303030302,0.8409090909090909,0.8735795454545454,0.8607954545454546,0.013442300725926481,0.8409090909090909,1.1777935606060608
aci,0.8977272727272727,0.8813920454545454,0.9069602272727273,0.9048295454545454,0.011583456271519967,0.8813920454545454,1.2260890151515154
cw_aci_λ0.5,0.8982007575757577,0.9041193181818182,0.90625,0.8842329545454546,0.009914958139854121,0.8842329545454546,1.2511837121212122
cw_aci_λ1.0,0.897253787878788,0.9098011363636364,0.9069602272727273,0.875,0.01577848740809814,0.875,1.2791193181818181
cw_aci_λ1.5,0.8984375,0.9176136363636364,0.9147727272727273,0.8629261363636364,0.02513709611445788,0.8629261363636364,1.3068181818181819
cw_aci_λ2.0,0.8984375,0.9190340909090909,0.9176136363636364,0.8586647727272727,0.028129543174534307,0.8586647727272727,1.328835227272727
uwcp_static,0.8489583333333335,0.8799715909090909,0.8551136363636364,0.8117897727272727,0.02817334318335653,0.8117897727272727,1.209280303030303
