gamma,std_high_vol_mean,std_high_vol_se,vs_high_vol_mean,vs_high_vol_se,vol_ratio
0.0,,,,,
0.25,0.840944,0.001881186714526184,0.9003840000000001,0.0015229418214702645,1.4905031555111832
0.5,0.814192,0.0022808899996231207,0.9027520000000001,0.0014874939557985019,2.2392234885546123
0.75,0.800592,0.0022840816820465337,0.9048800000000001,0.0014109517247372708,3.4048184076913155
1.0,0.801952,0.002508348264102905,0.91984,0.0015413540620796305,5.2859010339644446
