scp_overall,scp_high,scp_low,cwaci_overall,cwaci_high,cwaci_low
0.888,0.84,0.936,0.98,0.976,0.984
0.86,0.832,0.888,0.968,0.952,0.984
0.888,0.84,0.936,0.984,0.984,0.984
0.94,0.88,1.0,0.996,0.992,1.0
0.94,0.904,0.976,0.992,0.984,1.0
0.928,0.88,0.976,0.992,0.992,0.992
0.904,0.872,0.936,0.996,1.0,0.992
0.852,0.76,0.944,0.98,0.968,0.992
0.884,0.848,0.92,0.988,0.984,0.992
0.956,0.92,0.992,0.992,0.992,0.992
0.876,0.84,0.912,0.984,0.984,0.984
0.904,0.84,0.968,0.972,0.96,0.984
0.9,0.816,0.984,0.988,0.976,1.0
0.908,0.872,0.944,0.98,0.976,0.984
0.952,0.928,0.976,0.992,0.992,0.992
0.948,0.92,0.976,1.0,1.0,1.0
0.9,0.848,0.952,0.988,0.976,1.0
0.908,0.848,0.968,0.988,0.976,1.0
0.872,0.816,0.928,0.98,0.992,0.968
0.888,0.848,0.928,0.98,0.968,0.992
0.888,0.824,0.952,1.0,1.0,1.0
0.908,0.872,0.944,0.984,0.992,0.976
0.952,0.92,0.984,0.996,0.992,1.0
0.916,0.848,0.984,0.992,0.984,1.0
0.912,0.824,1.0,0.996,0.992,1.0
0.876,0.8,0.952,0.972,0.952,0.992
0.932,0.888,0.976,0.988,0.992,0.984
0.908,0.84,0.976,0.984,0.976,0.992
0.912,0.856,0.968,0.988,0.984,0.992
0.844,0.736,0.952,0.976,0.952,1.0
0.876,0.808,0.944,0.98,0.96,1.0
0.872,0.792,0.952,0.984,0.968,1.0
0.8,0.688,0.912,0.96,0.944,0.976
0.892,0.848,0.936,0.992,0.992,0.992
0.92,0.896,0.944,0.984,0.992,0.976
0.932,0.896,0.968,0.988,0.984,0.992
0.924,0.88,0.968,0.98,0.984,0.976
0.952,0.928,0.976,0.996,0.992,1.0
0.924,0.856,0.992,0.992,0.984,1.0
0.828,0.752,0.904,0.964,0.952,0.976
0.932,0.912,0.952,0.992,0.992,0.992
0.84,0.768,0.912,0.98,0.984,0.976
0.864,0.808,0.92,0.984,1.0,0.968
0.884,0.84,0.928,0.972,0.992,0.952
0.924,0.88,0.968,0.988,0.984,0.992
0.916,0.848,0.984,0.984,0.984,0.984
0.948,0.92,0.976,0.996,0.992,1.0
0.936,0.896,0.976,0.992,0.984,1.0
0.948,0.928,0.968,0.992,0.992,0.992
0.9,0.832,0.968,0.988,0.976,1.0
0.9,0.824,0.976,0.992,0.984,1.0
0.868,0.816,0.92,0.964,0.952,0.976
0.904,0.832,0.976,0.988,0.976,1.0
0.88,0.8,0.96,0.992,1.0,0.984
0.916,0.864,0.968,0.98,0.976,0.984
0.88,0.824,0.936,0.976,0.968,0.984
0.936,0.888,0.984,0.992,0.984,1.0
0.928,0.88,0.976,0.996,0.992,1.0
0.828,0.728,0.928,0.972,0.952,0.992
0.876,0.816,0.936,0.98,0.976,0.984
0.876,0.872,0.88,0.972,0.968,0.976
0.92,0.896,0.944,0.984,0.984,0.984
0.872,0.808,0.936,0.984,0.976,0.992
0.92,0.872,0.968,0.996,0.992,1.0
0.94,0.912,0.968,0.992,0.992,0.992
0.892,0.848,0.936,0.992,0.992,0.992
0.92,0.888,0.952,0.98,0.96,1.0
0.892,0.84,0.944,0.988,0.984,0.992
0.916,0.864,0.968,0.988,0.984,0.992
0.86,0.808,0.912,0.96,0.96,0.96
0.912,0.848,0.976,0.988,0.976,1.0
0.852,0.776,0.928,0.976,0.992,0.96
0.94,0.92,0.96,0.992,1.0,0.984
0.904,0.856,0.952,0.98,0.976,0.984
