factor,scp_breach_rate_overall,cwaci_breach_rate_overall,scp_breach_rate_high,cwaci_breach_rate_high,scp_breaches_high,cwaci_breaches_high,breach_reduction,breach_reduction_pct,scp_avg_var,cwaci_avg_var,n_high
Mom,0.0948509485094851,0.04878048780487805,0.10326086956521739,0.021739130434782608,19,4,15,0.7894736842105263,5100923.913043481,7694698.808090169,184
HML,0.07046070460704607,0.018970189701897018,0.125,0.02717391304347826,23,5,18,0.782608695652174,4053085.8636578466,6078378.131884741,184
SMB,0.05420054200542006,0.01084010840108401,0.07608695652173914,0.005434782608695652,14,1,13,0.9285714285714286,4321902.173913045,6543509.999798288,184
