delta,sim,method,coverage_overall,coverage_high_vol,coverage_low_vol
0.0,47,standard,0.88,0.864,0.896
0.0,47,saci,0.876,0.864,0.888
0.0,47,vol_scaling,0.876,1.0,0.752
0.0,48,standard,0.9,0.912,0.888
0.0,48,saci,0.896,0.896,0.896
0.0,48,vol_scaling,0.816,0.984,0.648
0.0,49,standard,0.9,0.88,0.92
0.0,49,saci,0.904,0.88,0.928
0.0,49,vol_scaling,0.848,0.96,0.736
0.0,50,standard,0.912,0.928,0.896
0.0,50,saci,0.908,0.928,0.888
0.0,50,vol_scaling,0.804,0.992,0.616
0.0,51,standard,0.92,0.92,0.92
0.0,51,saci,0.916,0.912,0.92
0.0,51,vol_scaling,0.832,0.96,0.704
0.0,52,standard,0.912,0.912,0.912
0.0,52,saci,0.92,0.928,0.912
0.0,52,vol_scaling,0.792,0.976,0.608
0.0,53,standard,0.912,0.92,0.904
0.0,53,saci,0.916,0.904,0.928
0.0,53,vol_scaling,0.828,0.992,0.664
0.0,54,standard,0.892,0.92,0.864
0.0,54,saci,0.9,0.936,0.864
0.0,54,vol_scaling,0.792,0.976,0.608
0.0,55,standard,0.88,0.872,0.888
0.0,55,saci,0.876,0.88,0.872
0.0,55,vol_scaling,0.804,0.952,0.656
0.0,56,standard,0.892,0.888,0.896
0.0,56,saci,0.868,0.84,0.896
0.0,56,vol_scaling,0.796,0.96,0.632
0.0,57,standard,0.92,0.888,0.952
0.0,57,saci,0.92,0.888,0.952
0.0,57,vol_scaling,0.84,0.992,0.688
0.0,58,standard,0.884,0.904,0.864
0.0,58,saci,0.868,0.912,0.824
0.0,58,vol_scaling,0.804,0.984,0.624
0.0,59,standard,0.9,0.96,0.84
0.0,59,saci,0.904,0.968,0.84
0.0,59,vol_scaling,0.832,1.0,0.664
0.0,60,standard,0.924,0.912,0.936
0.0,60,saci,0.924,0.912,0.936
0.0,60,vol_scaling,0.864,1.0,0.728
0.0,61,standard,0.864,0.864,0.864
