asset,n_obs,scp_overall,scp_high_crowd,cwaci_overall,cwaci_high_crowd,improvement
BTC,107,0.8674698795180723,0.8214285714285714,0.9879518072289156,1.0,0.1785714285714286
ETH,97,0.7945205479452054,0.7916666666666666,0.9452054794520548,1.0,0.20833333333333337
