gamma,factor,scp_overall,scp_high,scp_low,cwaci_overall,cwaci_high,cwaci_low,gain_high
0.5,SMB,0.8943089430894309,0.8532608695652174,0.9351351351351351,0.9728997289972899,0.9728260869565217,0.972972972972973,0.11956521739130432
0.5,HML,0.8536585365853658,0.782608695652174,0.9243243243243243,0.94579945799458,0.9239130434782609,0.9675675675675676,0.14130434782608692
0.5,RMW,0.7913279132791328,0.6684782608695652,0.9135135135135135,0.9132791327913279,0.8586956521739131,0.9675675675675676,0.1902173913043479
0.5,CMA,0.8644986449864499,0.8043478260869565,0.9243243243243243,0.962059620596206,0.9347826086956522,0.9891891891891892,0.13043478260869568
0.5,Mom,0.8509485094850948,0.8043478260869565,0.8972972972972973,0.9376693766937669,0.9456521739130435,0.9297297297297298,0.14130434782608692
1.0,SMB,0.8943089430894309,0.8532608695652174,0.9351351351351351,0.9728997289972899,0.9782608695652174,0.9675675675675676,0.125
1.0,HML,0.8536585365853658,0.782608695652174,0.9243243243243243,0.9539295392953929,0.9402173913043478,0.9675675675675676,0.15760869565217384
1.0,RMW,0.7913279132791328,0.6684782608695652,0.9135135135135135,0.9105691056910569,0.8586956521739131,0.9621621621621622,0.1902173913043479
1.0,CMA,0.8644986449864499,0.8043478260869565,0.9243243243243243,0.962059620596206,0.9402173913043478,0.9837837837837838,0.13586956521739124
1.0,Mom,0.8509485094850948,0.8043478260869565,0.8972972972972973,0.9322493224932249,0.9456521739130435,0.918918918918919,0.14130434782608692
1.5,SMB,0.8943089430894309,0.8532608695652174,0.9351351351351351,0.967479674796748,0.9782608695652174,0.9567567567567568,0.125
1.5,HML,0.8536585365853658,0.782608695652174,0.9243243243243243,0.9566395663956639,0.9456521739130435,0.9675675675675676,0.1630434782608695
1.5,RMW,0.7913279132791328,0.6684782608695652,0.9135135135135135,0.9105691056910569,0.8641304347826086,0.9567567567567568,0.19565217391304346
1.5,CMA,0.8644986449864499,0.8043478260869565,0.9243243243243243,0.962059620596206,0.9402173913043478,0.9837837837837838,0.13586956521739124
1.5,Mom,0.8509485094850948,0.8043478260869565,0.8972972972972973,0.9295392953929539,0.9456521739130435,0.9135135135135135,0.14130434782608692
2.0,SMB,0.8943089430894309,0.8532608695652174,0.9351351351351351,0.967479674796748,0.9782608695652174,0.9567567567567568,0.125
2.0,HML,0.8536585365853658,0.782608695652174,0.9243243243243243,0.959349593495935,0.9510869565217391,0.9675675675675676,0.1684782608695652
2.0,RMW,0.7913279132791328,0.6684782608695652,0.9135135135135135,0.9024390243902439,0.8641304347826086,0.9405405405405406,0.19565217391304346
2.0,CMA,0.8644986449864499,0.8043478260869565,0.9243243243243243,0.959349593495935,0.9402173913043478,0.9783783783783784,0.13586956521739124
2.0,Mom,0.8509485094850948,0.8043478260869565,0.8972972972972973,0.9295392953929539,0.9456521739130435,0.9135135135135135,0.14130434782608692
