factor,standard_cp_overall,standard_cp_overall_se,standard_cp_high,standard_cp_high_se,standard_cp_low,standard_cp_low_se,cwaci_calibrated_overall,cwaci_calibrated_overall_se,cwaci_calibrated_high,cwaci_calibrated_high_se,cwaci_calibrated_low,cwaci_calibrated_low_se,gibbs_aci_overall,gibbs_aci_overall_se,gibbs_aci_high,gibbs_aci_high_se,gibbs_aci_low,gibbs_aci_low_se,naive_scaling_overall,naive_scaling_overall_se,naive_scaling_high,naive_scaling_high_se,naive_scaling_low,naive_scaling_low_se,gamma_calibrated,test_p_value
Mkt-RF,0.8861788617886179,0.01653327815258031,0.8804347826086957,0.023918950121176258,0.8918918918918919,0.022829656514965737,0.959349593495935,0.010280345516733022,0.9945652173913043,0.005419994057178223,0.9243243243243243,0.01944484476760477,0.8970189701897019,0.015822177268685355,0.8913043478260869,0.022946168972231035,0.9027027027027027,0.021788979763017403,0.8807588075880759,0.016870520017118185,0.9945652173913043,0.005419994057178223,0.7675675675675676,0.031054233013106253,2.5,6.114007014001999e-06
SMB,0.8943089430894309,0.016004780569666893,0.8532608695652174,0.026085848865898376,0.9351351351351351,0.018107399438832925,0.964769647696477,0.009597478013931232,0.9782608695652174,0.010750768587974784,0.9513513513513514,0.015816850001306584,0.8970189701897019,0.015822177268685355,0.8804347826086957,0.023918950121176258,0.9135135135135135,0.020665492080474596,0.8319783197831978,0.019463703638648265,0.9728260869565217,0.011986290060755408,0.6918918918918919,0.03394570400922471,2.5,1.583500917057279e-05
HML,0.8536585365853658,0.01839977903575181,0.782608695652174,0.030407765486097187,0.9243243243243243,0.01944484476760477,0.9376693766937669,0.01258526655095188,0.9021739130434783,0.0219009806792657,0.972972972972973,0.011922399277196872,0.8807588075880759,0.016870520017118185,0.8206521739130435,0.028282559475073736,0.9405405405405406,0.017386548410278674,0.8265582655826558,0.01971062327435497,0.9347826086956522,0.018202377289764416,0.7189189189189189,0.03304988096959976,0.1,0.001647302339364165
RMW,0.7913279132791328,0.02115423083532505,0.6684782608695652,0.034704895314259805,0.9135135135135135,0.020665492080474596,0.8997289972899729,0.015636168959948137,0.8206521739130435,0.028282559475073736,0.9783783783783784,0.010693298507634013,0.8590785907859079,0.018113056995178557,0.782608695652174,0.030407765486097187,0.9351351351351351,0.018107399438832925,0.7344173441734417,0.022991014431332994,0.8315217391304348,0.027593057618122377,0.6378378378378379,0.035336278766759065,0.1,0.0008172069370067092
CMA,0.8644986449864499,0.01781725495108558,0.8043478260869565,0.02924525237911569,0.9243243243243243,0.01944484476760477,0.94579945799458,0.011786589602134979,0.9021739130434783,0.0219009806792657,0.9891891891891892,0.007602964279814021,0.8807588075880759,0.016870520017118185,0.8369565217391305,0.027232922696126274,0.9243243243243243,0.01944484476760477,0.7940379403794038,0.021052373046461206,0.9239130434782609,0.01954617325621428,0.6648648648648648,0.03470490084038602,0.1,0.008007271939033611
Mom,0.8509485094850948,0.018539867223558597,0.8043478260869565,0.02924525237911569,0.8972972972972973,0.022318923925463127,0.926829268292683,0.013556743712184974,0.9456521739130435,0.016712748955346877,0.9081081081081082,0.021238385964075304,0.8970189701897019,0.015822177268685355,0.8804347826086957,0.023918950121176258,0.9135135135135135,0.020665492080474596,0.8130081300813008,0.0202976436417266,0.9293478260869565,0.01889048015282757,0.6972972972972973,0.033777793479146945,2.3,4.164220029556631e-05
