factor,vol_cal_max,vol_test_max,pct_extrapolated,cal_range,true_highvol_range,underestimation_pct,cqr_correction,cqr_highvol_coverage
Mkt-RF,0.08915703714641524,0.08938890514843753,0.267379679144385,0.13796499999999995,0.1753,21.297775242441563,0.00031500000000000224,0.7624309392265194
SMB,0.053455137661634,0.08756804107767749,3.4759358288770055,0.09134999999999988,0.11599999999999999,21.250000000000103,6.999999999995809e-05,0.8066298342541437
HML,0.04974633533023188,0.07412007252772457,12.834224598930483,0.08688499999999996,0.14150000000000001,38.59717314487636,0.00010499999999997253,0.7237569060773481
RMW,0.029669639364171576,0.09765705726333009,17.647058823529413,0.04984,0.1099999999999999,54.690909090909045,0.0,0.6243093922651933
CMA,0.03395863348073339,0.048238485829796875,9.893048128342247,0.05911999999999999,0.0861,31.335656213705,7.000000000000319e-05,0.7348066298342542
Mom,0.07309462681823452,0.12424848361979383,11.229946524064172,0.11180999999999999,0.17969999999999992,37.77963272120198,7.000000000000319e-05,0.7071823204419889
