method,lambda,beta,crowding_bin,covered,set_size,crowding,factor
cao,,2.0,high,1,2,0.9999999819527288,MKT
cao,,2.0,high,1,2,0.8651623417470428,MKT
cao,,2.0,high,1,2,0.7609352880829299,MKT
cao,,2.0,high,1,2,0.6521950677144542,MKT
cao,,2.0,high,0,1,0.6085880013960305,MKT
cao,,2.0,high,1,2,0.706665181268356,MKT
cao,,2.0,high,1,2,0.7914378742373164,MKT
cao,,2.0,high,1,2,0.8381326951625673,MKT
split,,,high,1,2,0.8537450571001526,MKT
split,,,high,1,2,0.892480132999583,MKT
split,,,high,1,2,0.9048435228566891,MKT
split,,,high,1,1,0.6910620471269924,MKT
split,,,medium,1,1,0.4726050115986619,MKT
split,,,medium,1,1,0.4847532208906744,MKT
split,,,low,1,1,0.34827043240905736,MKT
split,,,low,1,1,0.2732937544530628,MKT
split,,,low,1,1,0.277819585702732,MKT
split,,,low,1,1,0.21467887593145496,MKT
split,,,low,1,2,0.2023764058850081,MKT
split,,,low,1,1,0.369510118092312,MKT
aci,,,high,1,2,0.8537450571001526,MKT
aci,,,high,1,2,0.892480132999583,MKT
aci,,,high,1,2,0.9048435228566891,MKT
aci,,,high,1,1,0.6910620471269924,MKT
aci,,,medium,1,1,0.4726050115986619,MKT
aci,,,medium,1,1,0.4847532208906744,MKT
aci,,,low,1,1,0.34827043240905736,MKT
aci,,,low,1,1,0.2732937544530628,MKT
aci,,,low,1,1,0.277819585702732,MKT
aci,,,low,1,1,0.21467887593145496,MKT
aci,,,low,1,1,0.2023764058850081,MKT
aci,,,low,1,1,0.369510118092312,MKT
crowding_weighted,0.5,,high,1,2,0.8537450571001526,MKT
crowding_weighted,0.5,,high,1,2,0.892480132999583,MKT
crowding_weighted,0.5,,high,1,2,0.9048435228566891,MKT
crowding_weighted,0.5,,high,1,1,0.6910620471269924,MKT
crowding_weighted,0.5,,medium,1,1,0.4726050115986619,MKT
crowding_weighted,0.5,,medium,1,1,0.4847532208906744,MKT
crowding_weighted,0.5,,low,1,1,0.34827043240905736,MKT
crowding_weighted,0.5,,low,1,1,0.2732937544530628,MKT
crowding_weighted,0.5,,low,1,1,0.277819585702732,MKT
crowding_weighted,0.5,,low,1,1,0.21467887593145496,MKT
